sku,un_bx
77134,120
77133,60
77136,60
77250,576
77251,576
77252,576
77253,576
77254,576
77255,576
77004,576
77054,576
77055,576
77056,576
77057,576
77058,576
77059,576
77060,576
77061,576
77062,576
77063,576
77244,72
77135,72
76223,96
76224,96
76092,96
76091,192
76189,192
76190,192
76188,192
76123,192
76196,192
76197,192
76089,96
76090,48
76198,24
76194,192
76192,192
76191,192
76195,192
76193,96
76234,72
76233,144
76236,72
76235,144
76238,72
76237,144
76240,72
76239,144
76242,72
76241,144
76244,72
76243,144
76246,72
76245,144
76248,72
76247,144
76095,96
76096,96
76121,144
76122,192
76119,144
76120,96
76093,96
76094,96
76142,96
76143,96
76227,96
76225,48
76226,48
79102,50
79101,50
79112,50
79110,144
79108,144
79107,144
79105,144
79091,72
79062,120
79063,30
79135,36
79160,24
79136,36
79162,24
79163,24
79159,24
79161,24
79137,20
79066,36
79138,40
79134,36
79092,60
79125,60
79065,36
79064,36
79080,36
79086,36
79081,36
79094,48
77137,288
77138,144
09008,72
09009,72
09010,72
09011,72
77158,36
77167,360
77166,360
77165,360
77164,360
77160,360
77168,360
77161,360
77162,360
77163,360
77156,12
77155,12
77151,12
77153,12
77149,12
77154,12
77157,12
77150,12
77152,12
77216,12
77215,12
77217,12
77219,12
14190,12
14191,12
14186,12
14187,12
14188,24
14198,24
14189,24
14213,24
14217,48
14216,48
14214,48
14215,48
14218,24
14219,24
14223,24
14224,24
14201,24
14222,6
14196,24
14197,24
14199,24
14200,24
14227,24
14228,24
14226,24
14225,24
14194,12
14195,12
14220,12
14221,12
14192,48
72008,288
72007,384
72006,384
72033,288
72034,384
72035,384
72010,144
72009,144
72045,36
72015,72
72014,192
72013,576
72029,12
72028,24
72027,48
72017,72
79118,144
79017,120
79014,120
79088,120
79057,120
79127,120
79126,120
79015,120
79122,120
79016,120
79044,144
79152,144
79150,144
79151,144
79148,144
79149,144
79025,144
79023,144
79117,144
79116,144
79026,144
79024,144
79050,144
79045,144
79089,144
79090,144
79043,144
79049,144
79146,144
79147,144
79077,96
79076,96
79047,120
79042,120
76114,576
76147,576
76149,576
75029,1000
75030,500
75031,1000
75032,500
75026,500
75027,500
75033,400
75034,200
75035,100
75036,100
75038,500
75042,500
75039,200
75040,120
75037,200
75041,120
79139,12
79140,12
79141,12
79142,12
79143,12
79144,12
79165,144
79166,144
77030,200
77031,200
77032,200
77033,200
77034,200
77035,200
76151,200
76156,200
76153,200
76152,200
76154,200
76155,200
76261,200
76259,200
76258,200
76262,200
76260,200
76263,200
76211,1152
76212,1152
76213,1152
76214,1152
76219,576
76220,576
76221,576
76179,576
76222,576
76168,576
76170,576
76171,576
76169,576
76163,120
76287,144
11015,96
11016,96
11017,96
11018,96
11013,48
11014,48
11019,48
11020,48
11021,96
11022,96
11023,96
11024,96
11047,400
11048,100
11010,72
11009,72
11011,288
11030,48
11012,72
11035,500
11036,500
11038,300
11039,240
11040,120
11041,120
11042,60
11043,100
11044,50
11045,30
11046,100
11051,500
78339,24
78338,24
78340,24
78272,24
78269,24
78270,24
78271,24
78268,24
78273,24
78408,24
78406,24
78405,24
78407,24
78223,24
78484,24
78222,24
78483,24
78196,60
04058,12
04059,12
78046,30
78044,30
78045,30
04051,24
04052,24
04050,24
04055,24
04057,24
04056,24
04061,12
04062,12
04060,12
04064,12
04065,12
04063,12
07036,6
07035,6
07033,6
07034,6
07030,24
04048,24
04049,24
07041,24
07042,24
07043,24
07044,24
07045,24
07058,24
78116,72
78117,72
78118,36
78119,36
78463,72
78464,72
78465,72
78466,72
78467,48
78468,48
78469,48
78470,48
78471,36
78472,36
78473,36
78474,36
78277,120
78278,96
78274,240
78275,240
78276,240
78316,240
78306,72
78206,64
78475,48
78202,96
78115,40
78203,48
78204,48
78461,48
78462,48
03001,10
03006,10
78260,120
78261,120
78262,120
78263,120
78307,160
78200,280
78279,360
78207,240
78311,720
78310,720
78308,720
78309,720
78476,720
78477,720
78478,720
78402,600
